date,cpi
7/1/1937,4.16321E-07
8/1/1937,4.18948E-07
9/1/1937,4.16321E-07
10/1/1937,4.18948E-07
11/1/1937,4.20261E-07
12/1/1937,4.21575E-07
1/1/1938,4.22888E-07
2/1/1938,4.07128E-07
3/1/1938,4.05815E-07
4/1/1938,4.05815E-07
5/1/1938,4.16321E-07
6/1/1938,4.18948E-07
7/1/1938,4.25515E-07
8/1/1938,4.26828E-07
9/1/1938,4.26828E-07
10/1/1938,4.24201E-07
11/1/1938,4.26828E-07
12/1/1938,4.24201E-07
1/1/1939,4.36021E-07
2/1/1939,4.32081E-07
3/1/1939,4.28141E-07
4/1/1939,4.46528E-07
5/1/1939,4.46528E-07
6/1/1939,4.41275E-07
7/1/1939,4.39961E-07
8/1/1939,4.38648E-07
9/1/1939,4.43901E-07
10/1/1939,4.46528E-07
11/1/1939,4.50468E-07
12/1/1939,4.66228E-07
1/1/1940,4.59661E-07
2/1/1940,4.59661E-07
3/1/1940,4.62288E-07
4/1/1940,4.59661E-07
5/1/1940,4.54408E-07
6/1/1940,4.64914E-07
7/1/1940,4.64914E-07
8/1/1940,4.64914E-07
9/1/1940,4.63601E-07
10/1/1940,4.63601E-07
11/1/1940,4.64914E-07
12/1/1940,4.67541E-07
1/1/1941,4.67541E-07
2/1/1941,4.63601E-07
3/1/1941,4.63601E-07
4/1/1941,4.64914E-07
5/1/1941,4.64914E-07
6/1/1941,4.67541E-07
7/1/1941,4.58348E-07
8/1/1941,4.59661E-07
9/1/1941,4.62288E-07
10/1/1941,4.62288E-07
11/1/1941,4.63601E-07
12/1/1941,4.66228E-07
1/1/1942,4.64914E-07
2/1/1942,4.78047E-07
3/1/1942,4.79361E-07
4/1/1942,4.79361E-07
5/1/1942,4.84614E-07
6/1/1942,4.81987E-07
7/1/1942,4.84614E-07
8/1/1942,4.76734E-07
9/1/1942,4.76734E-07
10/1/1942,4.78047E-07
11/1/1942,4.78047E-07
12/1/1942,4.81987E-07
1/1/1943,4.91181E-07
2/1/1943,4.9906E-07
3/1/1943,5.13507E-07
4/1/1943,5.17447E-07
5/1/1943,5.1088E-07
6/1/1943,5.04314E-07
7/1/1943,5.04314E-07
8/1/1943,5.04314E-07
9/1/1943,5.227E-07
10/1/1943,5.37147E-07
11/1/1943,5.1876E-07
12/1/1943,5.04314E-07
1/1/1944,5.04314E-07
2/1/1944,5.00374E-07
3/1/1944,5.08254E-07
4/1/1944,5.12194E-07
5/1/1944,5.29267E-07
6/1/1944,5.3058E-07
7/1/1944,5.3058E-07
8/1/1944,5.37147E-07
9/1/1944,5.43713E-07
10/1/1944,5.47653E-07
11/1/1944,5.45027E-07
12/1/1944,5.424E-07
1/1/1945,5.51593E-07
2/1/1945,5.71293E-07
3/1/1945,5.77859E-07
4/1/1945,5.76546E-07
5/1/1945,5.80486E-07
6/1/1945,5.90993E-07
7/1/1945,6.05439E-07
8/1/1945,6.39585E-07
9/1/1945,6.14632E-07
10/1/1945,6.15946E-07
11/1/1945,6.21199E-07
12/1/1945,6.14632E-07
1/1/1946,6.27766E-07
2/1/1946,6.33019E-07
3/1/1946,6.40899E-07
4/1/1946,6.36959E-07
5/1/1946,6.52719E-07
6/1/1946,6.61912E-07
7/1/1946,6.69792E-07
8/1/1946,6.69792E-07
9/1/1946,6.67165E-07
10/1/1946,6.68478E-07
11/1/1946,6.71105E-07
12/1/1946,6.96058E-07
1/1/1947,7.06565E-07
2/1/1947,7.26264E-07
3/1/1947,7.30204E-07
4/1/1947,7.60411E-07
5/1/1947,7.65664E-07
6/1/1947,7.70917E-07
7/1/1947,7.74857E-07
8/1/1947,7.86677E-07
9/1/1947,7.6829E-07
10/1/1947,7.6829E-07
11/1/1947,7.6829E-07
12/1/1947,7.69604E-07
1/1/1948,7.74857E-07
2/1/1948,7.65664E-07
3/1/1948,7.65664E-07
4/1/1948,7.60411E-07
5/1/1948,7.60411E-07
6/1/1948,7.55157E-07
7/1/1948,7.70917E-07
8/1/1948,7.70917E-07
9/1/1948,7.77484E-07
10/1/1948,7.7617E-07
11/1/1948,7.86677E-07
12/1/1948,7.89304E-07
1/1/1949,8.1951E-07
2/1/1949,8.30016E-07
3/1/1949,8.33956E-07
4/1/1949,8.24763E-07
5/1/1949,8.20823E-07
6/1/1949,8.32643E-07
7/1/1949,8.33956E-07
8/1/1949,8.2345E-07
9/1/1949,7.70917E-07
10/1/1949,7.77484E-07
11/1/1949,7.7223E-07
12/1/1949,7.74857E-07
1/1/1950,7.65664E-07
2/1/1950,7.70917E-07
3/1/1950,7.74857E-07
4/1/1950,7.82737E-07
5/1/1950,7.65664E-07
6/1/1950,7.73544E-07
7/1/1950,7.74857E-07
8/1/1950,7.69604E-07
9/1/1950,7.6435E-07
10/1/1950,7.74857E-07
11/1/1950,7.9193E-07
12/1/1950,7.9193E-07
1/1/1951,8.1557E-07
2/1/1951,8.1557E-07
3/1/1951,8.12943E-07
4/1/1951,8.81236E-07
5/1/1951,8.82549E-07
6/1/1951,8.89116E-07
7/1/1951,8.89116E-07
8/1/1951,9.00935E-07
9/1/1951,9.25888E-07
10/1/1951,9.35082E-07
11/1/1951,9.53468E-07
12/1/1951,9.57408E-07
1/1/1952,9.54781E-07
2/1/1952,9.77108E-07
3/1/1952,9.91554E-07
4/1/1952,9.96808E-07
5/1/1952,9.95494E-07
6/1/1952,1.00469E-06
7/1/1952,1.01913E-06
8/1/1952,1.01519E-06
9/1/1952,1.03621E-06
10/1/1952,1.03621E-06
11/1/1952,1.04934E-06
12/1/1952,1.06247E-06
1/1/1953,1.06116E-06
2/1/1953,1.04671E-06
3/1/1953,1.05065E-06
4/1/1953,1.05459E-06
5/1/1953,1.06904E-06
6/1/1953,1.05853E-06
7/1/1953,1.0651E-06
8/1/1953,1.06773E-06
9/1/1953,1.10581E-06
10/1/1953,1.10844E-06
11/1/1953,1.11238E-06
12/1/1953,1.16097E-06
1/1/1954,1.14784E-06
2/1/1954,1.15047E-06
3/1/1954,1.15441E-06
4/1/1954,1.17673E-06
5/1/1954,1.19118E-06
6/1/1954,1.23452E-06
7/1/1954,1.21482E-06
8/1/1954,1.20037E-06
9/1/1954,1.24502E-06
10/1/1954,1.25684E-06
11/1/1954,1.2621E-06
12/1/1954,1.25422E-06
1/1/1955,1.27392E-06
2/1/1955,1.2726E-06
3/1/1955,1.28048E-06
4/1/1955,1.2818E-06
5/1/1955,1.28836E-06
6/1/1955,1.28968E-06
7/1/1955,1.32382E-06
8/1/1955,1.35009E-06
9/1/1955,1.31857E-06
10/1/1955,1.3409E-06
11/1/1955,1.3514E-06
12/1/1955,1.38555E-06
1/1/1956,1.39343E-06
2/1/1956,1.38686E-06
3/1/1956,1.36716E-06
4/1/1956,1.35272E-06
5/1/1956,1.40919E-06
6/1/1956,1.39343E-06
7/1/1956,1.4E-06
8/1/1956,1.38686E-06
9/1/1956,1.38424E-06
10/1/1956,1.44071E-06
11/1/1956,1.44465E-06
12/1/1956,1.46829E-06
1/1/1957,1.49377E-06
2/1/1957,1.509E-06
3/1/1957,1.49324E-06
4/1/1957,1.48536E-06
5/1/1957,1.50112E-06
6/1/1957,1.64953E-06
7/1/1957,1.67842E-06
8/1/1957,1.65741E-06
9/1/1957,1.67185E-06
10/1/1957,1.67711E-06
11/1/1957,1.73621E-06
12/1/1957,1.74014E-06
1/1/1958,1.76772E-06
2/1/1958,1.76772E-06
3/1/1958,1.7953E-06
4/1/1958,1.84915E-06
5/1/1958,1.85046E-06
6/1/1958,1.85309E-06
7/1/1958,1.88592E-06
8/1/1958,1.87804E-06
9/1/1958,1.9424E-06
10/1/1958,1.96472E-06
11/1/1958,2.0317E-06
12/1/1958,2.08029E-06
1/1/1959,2.16829E-06
2/1/1959,2.29174E-06
3/1/1959,2.38367E-06
4/1/1959,2.38367E-06
5/1/1959,2.50187E-06
6/1/1959,2.65027E-06
7/1/1959,2.72251E-06
8/1/1959,2.821E-06
9/1/1959,2.8696E-06
10/1/1959,2.86434E-06
11/1/1959,2.87748E-06
12/1/1959,3.09023E-06
1/1/1960,3.1756E-06
2/1/1960,3.3135E-06
3/1/1960,3.24521E-06
4/1/1960,3.3135E-06
5/1/1960,3.38836E-06
6/1/1960,3.53414E-06
7/1/1960,3.61162E-06
8/1/1960,3.87035E-06
9/1/1960,4.06078E-06
10/1/1960,4.15402E-06
11/1/1960,3.9255E-06
12/1/1960,4.21181E-06
1/1/1961,4.40224E-06
2/1/1961,4.38517E-06
3/1/1961,4.28798E-06
4/1/1961,4.23939E-06
5/1/1961,4.44952E-06
6/1/1961,4.4679E-06
7/1/1961,4.52175E-06
8/1/1961,4.54539E-06
9/1/1961,4.59792E-06
10/1/1961,4.58479E-06
11/1/1961,4.62944E-06
12/1/1961,4.6452E-06
1/1/1962,4.76471E-06
2/1/1962,4.78179E-06
3/1/1962,4.78967E-06
4/1/1962,4.79229E-06
5/1/1962,4.82119E-06
6/1/1962,4.88291E-06
7/1/1962,5.00768E-06
8/1/1962,5.05364E-06
9/1/1962,5.11012E-06
10/1/1962,5.24013E-06
11/1/1962,5.21518E-06
12/1/1962,5.16528E-06
1/1/1963,5.12456E-06
2/1/1963,5.00768E-06
3/1/1963,5.30186E-06
4/1/1963,5.56452E-06
5/1/1963,5.55402E-06
6/1/1963,5.82193E-06
7/1/1963,6.05964E-06
8/1/1963,6.18572E-06
9/1/1963,6.43394E-06
10/1/1963,6.83187E-06
11/1/1963,6.95927E-06
12/1/1963,7.41893E-06
1/1/1964,7.43863E-06
2/1/1964,7.64613E-06
3/1/1964,7.93375E-06
4/1/1964,7.97446E-06
5/1/1964,8.02568E-06
6/1/1964,8.39604E-06
7/1/1964,8.57859E-06
8/1/1964,8.87146E-06
9/1/1964,9.15907E-06
10/1/1964,9.30091E-06
11/1/1964,9.55307E-06
12/1/1964,1.00469E-05
1/1/1965,1.03805E-05
2/1/1965,1.07403E-05
3/1/1965,1.12289E-05
4/1/1965,1.14915E-05
5/1/1965,1.17489E-05
6/1/1965,1.25776E-05
7/1/1965,1.29716E-05
8/1/1965,1.37951E-05
9/1/1965,1.49626E-05
10/1/1965,1.55786E-05
11/1/1965,1.67763E-05
12/1/1965,1.88881E-05
1/1/1966,1.94647E-05
2/1/1966,1.99243E-05
3/1/1966,2.04352E-05
4/1/1966,2.139E-05
5/1/1966,2.17078E-05
6/1/1966,2.34072E-05
7/1/1966,2.36817E-05
8/1/1966,2.43082E-05
9/1/1966,2.49504E-05
10/1/1966,2.57594E-05
11/1/1966,2.62847E-05
12/1/1966,2.82153E-05
1/1/1967,2.97571E-05
2/1/1967,3.30825E-05
3/1/1967,3.48265E-05
4/1/1967,3.56854E-05
5/1/1967,3.59534E-05
6/1/1967,3.85209E-05
7/1/1967,4.4641E-05
8/1/1967,4.75066E-05
9/1/1967,5.17421E-05
10/1/1967,5.43648E-05
11/1/1967,5.64621E-05
12/1/1967,6.65602E-05
1/1/1968,7.71941E-05
2/1/1968,8.23082E-05
3/1/1968,8.62652E-05
4/1/1968,8.94093E-05
5/1/1968,9.59693E-05
6/1/1968,0.000108959
7/1/1968,0.000109602
8/1/1968,0.000107756
9/1/1968,0.00010664
10/1/1968,0.000108819
11/1/1968,0.000108663
12/1/1968,0.000110705
1/1/1969,0.000112034
2/1/1969,0.000113226
3/1/1969,0.000115657
4/1/1969,0.000118796
5/1/1969,0.000118482
6/1/1969,0.000119366
7/1/1969,0.000121181
8/1/1969,0.000122157
9/1/1969,0.000122602
10/1/1969,0.000125271
11/1/1969,0.000125787
12/1/1969,0.000126782
1/1/1970,0.000130274
2/1/1970,0.000131877
3/1/1970,0.00013404
4/1/1970,0.000135733
5/1/1970,0.000138082
6/1/1970,0.000139179
7/1/1970,0.000140595
8/1/1970,0.00014118
9/1/1970,0.000143004
10/1/1970,0.000144257
11/1/1970,0.000146456
12/1/1970,0.000153314
1/1/1971,0.000154123
