date,cpi
1/31/1943,9.79338E-13
2/28/1943,9.73671E-13
3/31/1943,9.8903E-13
4/30/1943,9.9559E-13
5/31/1943,9.86942E-13
6/30/1943,9.87986E-13
7/31/1943,9.3222E-13
8/31/1943,9.41912E-13
9/30/1943,9.33263E-13
10/31/1943,9.42955E-13
11/30/1943,9.42955E-13
12/31/1943,9.39973E-13
1/31/1944,9.46534E-13
2/29/1944,9.48472E-13
3/31/1944,9.54586E-13
4/30/1944,9.4385E-13
5/31/1944,9.39973E-13
6/30/1944,9.57121E-13
7/31/1944,9.56226E-13
8/31/1944,9.69795E-13
9/30/1944,9.67856E-13
10/31/1944,9.74417E-13
11/30/1944,9.74417E-13
12/31/1944,9.76355E-13
1/31/1945,1.0524E-12
2/28/1945,1.07253E-12
3/31/1945,1.15245E-12
4/30/1945,1.1535E-12
5/31/1945,1.15752E-12
6/30/1945,1.15812E-12
7/31/1945,1.17169E-12
8/31/1945,1.1611E-12
9/30/1945,1.16781E-12
10/31/1945,1.1687E-12
11/30/1945,1.17079E-12
12/31/1945,1.19659E-12
1/31/1946,1.28053E-12
2/28/1946,1.28247E-12
3/31/1946,1.32005E-12
4/30/1946,1.34286E-12
5/31/1946,1.33928E-12
6/30/1946,1.3621E-12
7/31/1946,1.36508E-12
8/31/1946,1.35554E-12
9/30/1946,1.35747E-12
10/31/1946,1.39102E-12
11/30/1946,1.39699E-12
12/31/1946,1.42084E-12
1/31/1947,1.40862E-12
2/28/1947,1.41816E-12
3/31/1947,1.50479E-12
4/30/1947,1.50569E-12
5/31/1947,1.50733E-12
6/30/1947,1.57771E-12
7/31/1947,1.56041E-12
8/31/1947,1.57472E-12
9/30/1947,1.57666E-12
10/31/1947,1.56801E-12
11/30/1947,1.58263E-12
12/31/1947,1.63273E-12
1/31/1948,1.60648E-12
2/29/1948,1.60186E-12
3/31/1948,1.63079E-12
4/30/1948,1.64033E-12
5/31/1948,1.68089E-12
6/30/1948,1.7289E-12
7/31/1948,1.72502E-12
8/31/1948,1.76051E-12
9/30/1948,1.83268E-12
10/31/1948,1.83835E-12
11/30/1948,1.84237E-12
12/31/1948,1.94048E-12
1/31/1949,1.95107E-12
2/28/1949,1.94615E-12
3/31/1949,2.07886E-12
4/30/1949,2.17995E-12
5/31/1949,2.24332E-12
6/30/1949,2.26956E-12
7/31/1949,2.31161E-12
8/31/1949,2.35113E-12
9/30/1949,2.38796E-12
10/31/1949,2.45326E-12
11/30/1949,2.53214E-12
12/31/1949,2.59357E-12
1/31/1950,2.5475E-12
2/28/1950,2.61385E-12
3/31/1950,2.61475E-12
4/30/1950,2.67156E-12
5/31/1950,2.7986E-12
6/30/1950,2.87852E-12
7/31/1950,2.87941E-12
8/31/1950,2.88508E-12
9/30/1950,2.99944E-12
10/31/1950,3.11321E-12
11/30/1950,3.10635E-12
12/31/1950,3.16704E-12
1/31/1951,3.13618E-12
2/28/1951,3.22862E-12
3/31/1951,3.23831E-12
4/30/1951,3.53086E-12
5/31/1951,3.79419E-12
6/30/1951,3.92018E-12
7/31/1951,3.95E-12
8/31/1951,4.31591E-12
9/30/1951,4.23391E-12
10/31/1951,4.36288E-12
11/30/1951,4.3772E-12
12/31/1951,4.75727E-12
1/31/1952,4.94306E-12
2/29/1952,4.97944E-12
3/31/1952,5.12482E-12
4/30/1952,5.4451E-12
5/31/1952,5.53069E-12
6/30/1952,5.64521E-12
7/31/1952,5.41424E-12
8/31/1952,5.39202E-12
9/30/1952,5.57319E-12
10/31/1952,5.62985E-12
11/30/1952,5.64416E-12
12/31/1952,5.66444E-12
1/31/1953,5.59168E-12
2/28/1953,5.91643E-12
3/31/1953,5.88855E-12
4/30/1953,5.64148E-12
5/31/1953,5.54993E-12
6/30/1953,5.54038E-12
7/31/1953,5.58377E-12
8/31/1953,5.5884E-12
9/30/1953,5.54993E-12
10/31/1953,5.52607E-12
11/30/1953,5.56558E-12
12/31/1953,5.62418E-12
1/31/1954,5.5134E-12
2/28/1954,5.50087E-12
3/31/1954,5.50952E-12
4/30/1954,5.62329E-12
5/31/1954,5.6127E-12
6/30/1954,5.70112E-12
7/31/1954,5.82816E-12
8/31/1954,5.86932E-12
9/30/1954,6.01201E-12
10/31/1954,6.18602E-12
11/30/1954,6.24939E-12
12/31/1954,6.52464E-12
1/31/1955,6.3821E-12
2/28/1955,6.39074E-12
3/31/1955,6.39969E-12
4/30/1955,6.49184E-12
5/31/1955,6.50049E-12
6/30/1955,6.53896E-12
7/31/1955,6.56773E-12
8/31/1955,6.5901E-12
9/30/1955,6.63513E-12
10/31/1955,6.62947E-12
11/30/1955,6.63245E-12
12/31/1955,7.01222E-12
1/31/1956,6.92097E-12
2/29/1956,6.86789E-12
3/31/1956,6.8573E-12
4/30/1956,7.09886E-12
5/31/1956,7.37113E-12
6/30/1956,7.65696E-12
7/31/1956,7.61745E-12
8/31/1956,7.58107E-12
9/30/1956,7.62312E-12
10/31/1956,7.72033E-12
11/30/1956,7.83977E-12
12/31/1956,8.18138E-12
1/31/1957,8.09072E-12
2/28/1957,8.15245E-12
3/31/1957,8.44962E-12
4/30/1957,8.67582E-12
5/31/1957,8.91886E-12
6/30/1957,9.26151E-12
7/31/1957,9.43194E-12
8/31/1957,9.93876E-12
9/30/1957,9.91684E-12
10/31/1957,1.00217E-11
11/30/1957,1.02738E-11
12/31/1957,1.02784E-11
1/31/1958,1.00062E-11
2/28/1958,1.01447E-11
3/31/1958,1.03123E-11
4/30/1958,1.07577E-11
5/31/1958,1.1452E-11
6/30/1958,1.19572E-11
7/31/1958,1.2391E-11
8/31/1958,1.29665E-11
9/30/1958,1.32145E-11
10/31/1958,1.36072E-11
11/30/1958,1.42987E-11
12/31/1958,1.54946E-11
1/31/1959,1.82461E-11
2/28/1959,1.99027E-11
3/31/1959,2.13631E-11
4/30/1959,2.31294E-11
5/31/1959,2.55423E-11
6/30/1959,2.71563E-11
7/31/1959,2.79869E-11
8/31/1959,2.90448E-11
9/30/1959,2.95597E-11
10/31/1959,2.97423E-11
11/30/1959,3.03648E-11
12/31/1959,3.12404E-11
1/31/1960,3.20964E-11
2/29/1960,3.23609E-11
3/31/1960,3.25922E-11
4/30/1960,3.25592E-11
5/31/1960,3.24932E-11
6/30/1960,3.2328E-11
7/31/1960,3.26253E-11
8/31/1960,3.27907E-11
9/30/1960,3.28238E-11
10/31/1960,3.30881E-11
11/30/1960,3.39145E-11
12/31/1960,3.70217E-11
1/31/1961,3.47739E-11
2/28/1961,3.52037E-11
3/31/1961,3.56004E-11
4/30/1961,3.63937E-11
5/31/1961,3.66581E-11
6/30/1961,3.71538E-11
7/31/1961,3.77158E-11
8/31/1961,3.80133E-11
9/30/1961,3.84101E-11
10/31/1961,3.8443E-11
11/30/1961,3.96662E-11
12/31/1961,4.31038E-11
1/31/1962,4.13849E-11
2/28/1962,4.198E-11
3/31/1962,4.2641E-11
4/30/1962,4.40293E-11
5/31/1962,4.55499E-11
6/30/1962,4.62109E-11
7/31/1962,4.82935E-11
8/31/1962,4.89215E-11
9/30/1962,5.07307E-11
10/31/1962,5.15991E-11
11/30/1962,5.13346E-11
12/31/1962,5.63259E-11
1/31/1963,5.40121E-11
2/28/1963,5.45079E-11
3/31/1963,5.70861E-11
4/30/1963,5.79786E-11
5/31/1963,5.79786E-11
6/30/1963,5.86398E-11
7/31/1963,5.95322E-11
8/31/1963,5.97967E-11
9/30/1963,6.07222E-11
