country,Q1 1990,Q2 1990,Q3 1990,Q4 1990,Q1 1991,Q2 1991,Q3 1991,Q4 1991,Q1 1992,Q2 1992,Q3 1992,Q4 1992,Q1 1993,Q2 1993,Q3 1993,Q4 1993,Q1 1994,Q2 1994,Q3 1994,Q4 1994,Q1 1995,Q2 1995,Q3 1995,Q4 1995,Q1 1996,Q2 1996,Q3 1996,Q4 1996,Q1 1997,Q2 1997,Q3 1997,Q4 1997,Q1 1998,Q2 1998,Q3 1998,Q4 1998,Q1 1999,Q2 1999,Q3 1999,Q4 1999,Q1 2000,Q2 2000,Q3 2000,Q4 2000,Q1 2001,Q2 2001,Q3 2001,Q4 2001,Q1 2002,Q2 2002,Q3 2002,Q4 2002,Q1 2003,Q2 2003,Q3 2003,Q4 2003,Q1 2004,Q2 2004,Q3 2004,Q4 2004,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Australia,58.48074922,59.41727367,59.83350676,61.39438085,61.29032258,61.39438085,61.70655567,62.33090531,62.33090531,62.12278876,62.22684703,62.53902185,63.05931322,63.26742976,63.57960458,63.68366285,63.99583767,64.41207076,64.82830385,65.34859521,66.38917794,67.32570239,68.15816857,68.67845994,68.88657648,69.40686785,69.61498439,69.71904266,69.82310094,69.61498439,69.30280957,69.51092612,69.71904266,70.13527575,70.23933403,70.55150884,70.55150884,70.86368366,71.4880333,71.90426639,72.52861602,73.04890739,75.85848075,76.06659729,76.89906348,77.52341311,77.73152966,78.45993757,79.18834547,79.70863684,80.2289282,80.74921956,81.78980229,81.78980229,82.31009365,82.72632674,83.45473465,83.87096774,84.18314256,84.8074922,85.43184183,85.95213319,86.78459938,87.20083247,87.92924037,89.38605619,90.21852237,90.1144641,90.1144641,91.2591051,91.88345473,92.71592092,93.96462019,95.31737773,96.46201873,96.14984391,96.25390219,96.67013528,97.60665973,98.12695109,99.06347555,99.68782518,100.4162331,100.8324662,102.289282,103.2258065,103.8501561,103.8501561,103.9542144,104.4745057,105.9313215,106.1394381,106.5556712,106.9719043,108.2206035,109.0530697,109.6774194,110.1977107,110.7180021,110.9261186,111.1342352,111.8626431,112.3829344,112.7991675,112.591051,113.0072841,113.8397503,114.4640999,114.9843913,115.1925078,115.9209157,116.6493236,117.169615,117.5858481,118.1061394,118.7304891,118.7304891,119.458897,120.0832466,120.9157128,121.3319459,119.0426639,120.9157128,121.9562955,122.6847034,123.6212279,124.5577523,126.2226847
Austria,64.81544014,65.27756903,66.41455084,66.36320408,67.01605409,67.54420368,68.73253226,68.351094,69.71547776,70.29497013,71.41728201,71.13854127,72.42223441,72.89903323,73.88197076,73.62523293,74.6595252,75.04096745,76.11926554,75.65713664,76.50070779,76.94083377,77.71838422,77.08020015,77.79906687,78.16583919,79.20746443,78.80401528,79.28081411,79.48620118,79.50820808,79.80162673,80.11704829,80.30043245,80.21240087,80.38112308,80.49115757,80.5938511,80.58651813,81.16601049,81.76017279,82.29565535,82.88982562,83.46198102,84.03367762,84.83215776,85.0524342,85.24517009,85.685711,86.34653234,86.51173168,86.75953669,87.20008159,87.36528094,87.61309392,87.80582982,88.3840455,89.09992397,89.51293232,90.20128222,90.9492255,91.31460543,91.49729539,91.64953637,91.9844673,92.80657813,92.92837011,92.9588191,93.506889,94.5725798,94.72482077,95.91230754,96.61261841,97.98279514,98.25683208,98.04368914,97.6783132,98.25683208,98.2872731,98.65265702,99.04848993,100.1750787,100.0532867,100.7231446,101.8945332,103.4949684,103.5949969,104.1618181,104.5285865,105.7955989,106.0289973,107.0626113,107.1292943,108.0628838,107.9628554,108.7297375,108.829766,109.9634124,109.7633555,110.2634938,109.7570319,111.0851857,110.7900356,111.122074,110.8269318,111.7123623,111.5647933,112.5978009,113.0774124,113.8890584,113.9628469,115.0696391,115.1065313,116.1026427,116.3977888,117.504585,117.098758,118.0579771,118.0210888,119.0540964,119.2904711,119.2904711,119.6894358,120.4873654,120.8863302,122.2827069,123.4397048,125.3946323
Belgium,65.51585086,66.00050958,66.72750305,67.5259133,67.95190555,68.14322113,68.92632599,69.29364817,69.5920979,70.00023326,70.52060576,70.86241298,71.57665255,71.85979689,72.53832269,72.73983708,73.30101557,73.70915811,74.38002943,74.18871384,74.63001507,74.78306538,75.2906804,75.21415704,76.09272949,76.22550779,76.76020957,77.0688294,77.55687935,77.38821503,78.12746716,78.05928371,78.11670136,78.66216895,78.7231752,78.58321969,78.94207995,79.38706668,79.44448432,79.8320534,80.51029929,81.22801981,81.83808225,82.11081605,82.26871456,83.62161774,83.90511735,83.93382617,84.51876839,84.74485036,84.96734372,84.98887533,85.84655135,85.9111462,86.39919615,86.45302519,86.98413838,87.85258021,88.32986435,88.6707816,89.27366683,90.23900093,91.10026556,91.01055049,91.26892988,92.04765664,92.45675734,92.32756765,92.86585803,93.38261681,93.68764803,94.87547549,96.42216321,98.10521783,98.92341922,98.18775569,97.98320534,97.81454102,97.71764875,97.91502189,98.95212804,99.94258236,100.2583794,100.8469102,102.2931171,103.4199383,103.9043996,104.5108735,105.9319601,106.2621115,106.6496806,107.0444269,107.2597431,107.6006603,107.8626283,107.9056915,108.3327352,108.0492356,107.9487548,107.7621474,107.8123879,108.5803488,108.8207852,109.3052465,109.7430561,110.8949975,111.106725,111.35075,112.6318811,113.0158616,113.2132348,113.6546329,114.3508218,115.0577765,115.7647312,116.633173,116.823369,117.2432355,117.1104572,117.2647671,118.0399053,117.8855953,118.0686141,117.9178928,118.6714993,119.5830044,121.1619895,124.01134
Bolivia,24.97907162,25.37279713,26.50897648,28.47479173,30.9805734,31.53460145,32.30799085,33.10387886,34.81939718,35.53091543,36.26211996,36.74302755,37.74140296,38.19699963,39.47941988,40.16281488,40.78433873,41.27087098,42.30299429,43.47292154,44.41786277,45.71434465,46.4146136,48.39167815,50.89745982,51.38961672,52.61016582,53.02076528,53.18950479,53.85602584,55.05688866,55.60529206,57.90014935,58.46823902,58.75509618,59.30068725,59.3963063,59.3175612,59.92502342,60.84465373,61.71647452,62.16925886,62.98202082,63.63729257,63.26887798,63.37574633,64.07039063,63.7863458,63.78353347,63.72166232,64.23069317,65.1081386,65.50748877,65.74091175,66.56492301,67.61392027,68.34231248,68.63760661,69.59379715,70.62592046,72.07426789,72.59041543,73.35985758,74.14363717,74.91307932,75.53436802,76.60489623,77.62763301,79.85471403,80.49989844,84.17983918,86.66977311,90.17288553,93.75246425,96.25195646,97.41806755,97.88642365,97.06441091,97.37505526,97.90554022,98.23530115,98.33566317,99.98446778,103.4445679,107.8939508,109.3468105,110.4890259,111.8080696,113.1032176,114.1498501,115.3494152,116.7831583,118.7760613,119.6554237,122.3699774,124.9363776,126.0403599,127.607919,129.6486135,130.4515096,132.8315232,132.45875,134.1171129,135.1971994,136.511464,138.3275386,138.8150113,140.3204416,141.2810495,140.9082763,143.1783696,144.2441187,145.2955303,145.2907512,145.6444078,146.3230462,146.9634515,147.5990776,148.7674671,149.9400776,148.8934931,149.7545387,150.3483503,149.8548335,150.7485334,150.453631,151.0324215,151.032461
Brazil,0.000345287,0.000702907,0.000995656,0.001526965,0.002555753,0.003330502,0.004779182,0.008359388,0.016098679,0.029116744,0.05315897,0.101759558,0.207886445,0.43311624,0.987127914,2.429346672,6.662269676,19.7196718,29.92600481,31.97823088,33.59004443,35.76727703,37.85343039,39.35051192,40.81056241,42.06715622,43.19039547,43.5877835,44.51066984,45.33434295,45.66237804,45.90008308,46.57937794,47.02749635,46.86107072,46.73563609,47.65220788,48.5639635,49.43911618,50.64348124,51.40368785,51.76083405,53.17764599,53.78416308,54.59670547,55.38291943,56.70640458,57.81369694,58.7608782,59.70527679,61.03603971,63.96812762,67.94661001,69.77054935,70.32280419,71.25682124,72.53492731,73.60133569,75.17429874,76.41194893,77.93396755,79.3381504,79.83881865,81.06373272,82.22828406,82.74650459,82.90072925,83.61020548,84.68506892,85.46903533,86.23491433,87.16700491,88.60993122,90.22142369,91.6340616,92.59975839,93.73391431,94.89140192,95.66776948,96.51884128,98.29290644,99.73658193,100.0654732,101.9050384,104.2914,106.3111972,107.2066849,108.7365164,110.3053054,111.6295397,112.8248076,114.8345443,117.3124133,118.957619,119.6762995,121.542086,124.1245196,126.5623608,127.5599514,129.4620198,133.6306876,137.3378588,139.7106281,142.8752838,147.1858683,149.8994088,151.9049715,152.9401282,154.3874426,155.2319858,155.806181,157.2495354,158.7001676,160.4106593,162.6636664,163.7207635,165.176961,167.335357,167.8378447,169.2412784,171.5057373,170.9102439,172.246144,176.4350398,180.5706366,184.1047465,188.8543522,194.939965
Canada,66.22781912,66.85746995,67.51574127,68.5174585,70.49227247,71.00744133,71.43674871,71.32226674,71.60847167,71.98053807,72.29536348,72.6101889,73.12535776,73.26846022,73.55466514,73.92673154,73.52604465,73.26846022,73.66914711,73.89811105,74.64224385,75.24327418,75.38637665,75.41499714,75.72982255,76.33085289,76.44533486,76.90326274,77.33257012,77.56153406,77.7618775,77.70463652,78.1339439,78.33428735,78.42014883,78.56325129,78.73497424,79.59358901,80.13737836,80.42358329,80.82427018,81.53978248,82.31253578,82.88494562,83.05666857,84.4590727,84.54493417,83.77218088,84.34459073,85.60389239,86.51974814,86.94905552,88.12249571,87.97939325,88.32283915,88.46594161,88.92386949,89.92558672,90.09730967,90.49799657,90.81282198,91.64281626,92.44419004,92.50143102,92.9593589,93.98969662,94.04693761,93.76073268,94.64796795,96.05037207,96.05037207,96.02175157,96.33657699,98.31139096,99.34172868,97.85346308,97.53863766,98.36863194,98.48311391,98.62621637,99.11276474,99.74241557,100.2862049,100.8586148,101.688609,103.0910132,103.2913566,103.5775615,104.0641099,104.7223812,104.5506583,104.5506583,105.0085861,105.523755,105.7527189,105.523755,106.4682313,107.8706354,107.9564969,107.55581,107.6130509,108.8437321,109.244419,108.9868346,109.2730395,110.5323412,110.5895821,110.5037207,111.3623354,111.9919863,112.1064682,112.4785346,113.6519748,114.5678306,115.1116199,114.768174,115.4836863,117.0291929,117.3440183,117.1722954,117.5729823,117.0578134,117.6588437,118.0881511,119.2615913,120.9788208,122.4384659,123.6691471
Chile,27.26590411,28.71699849,30.66264029,33.32141045,33.83610836,35.53598796,37.37923027,39.34972264,40.15483982,41.17215223,42.69912277,44.61219953,45.12388304,46.51453451,48.21508923,50.2486992,51.15118469,52.42667813,53.65785853,54.6201075,55.47827134,56.50397334,58.11521823,59.19967319,59.83960869,61.25645238,62.04881531,63.02650613,64.00184476,64.67636207,65.59898946,66.99400559,67.58391744,68.15972479,68.92320791,69.95596216,70.16378843,70.83091378,71.12099333,71.67094818,72.40589551,73.40070952,73.93890776,74.94782627,75.30606751,76.04537519,76.63058267,77.22921522,77.145616,77.72141905,78.439914,79.50221458,80.05955278,80.6115158,80.57895076,80.34964094,80.06425285,80.98386154,81.76816169,82.17542034,81.90111804,83.22362073,84.48300581,85.30457106,85.22970114,86.39238443,87.42916792,87.22134595,87.52116964,88.86649753,91.61457321,93.53336057,94.53321436,96.76357343,100.1687035,101.5825242,99.10359063,98.51523543,98.311447,98.50537949,98.84755966,99.69038916,100.5203182,100.941733,101.7329607,102.9843045,103.6551279,104.9924747,105.9514083,106.1750161,106.3900237,107.2801548,107.5080628,107.5252634,108.6304021,109.7527413,111.1889916,112.9606536,113.9539884,115.7643518,116.0524618,117.6822189,119.3635777,120.5074178,121.4491507,122.6359923,123.5347237,123.9174371,124.7946678,125.4611911,125.5901957,126.4201247,127.2887551,128.1659858,129.1249194,129.9161471,130.2128575,131.5373038,132.3070307,133.5970759,135.029026,135.3945388,135.8503548,137.4500108,139.0109654,140.258009,142.4897871,146.5663298
"China, P.R.: Mainland",40.24500699,40.57218045,39.95262351,40.65230748,40.99557002,41.82933649,41.83002948,42.50845977,43.19548144,44.1382779,44.41322218,46.03794521,47.99097791,50.5529674,51.5749541,54.06837416,58.66247937,61.60746551,64.84304812,68.60396653,71.91052003,73.75945062,74.41216995,76.23700489,78.64722463,80.44664781,80.31052592,81.54823266,82.70614469,82.80674055,82.01981792,82.36316077,82.95338265,82.09086572,80.84379248,81.4571144,81.7640638,80.31188048,79.9028183,80.77873976,81.84655906,80.38972668,80.11376963,81.53003379,82.38980744,81.64961903,80.74876012,81.42100724,81.90626622,80.84018604,80.13694231,80.93804288,82.29091653,81.33285447,80.78357256,83.06551571,84.5647409,84.84547521,84.95578795,85.63150477,86.88675232,86.2708153,86.06685894,86.81284586,88.11541304,87.70155652,87.43725204,88.49069685,90.53656321,90.86638617,92.84925513,94.43544946,97.86691667,98.01162736,97.78243017,96.87235005,97.254569,96.51105189,96.54133064,97.38264476,99.26924646,99.13429538,99.69298651,101.9034717,104.454723,105.0368475,106.1116703,106.6123549,108.3480586,107.9475083,108.1254675,108.8546016,111.017344,110.5284701,111.0810935,112.0050994,113.5047519,112.8918317,113.1982897,113.5813675,114.8071995,114.4241302,115.2285808,115.2285808,117.2205684,116.8374906,117.1056451,117.7185653,118.9060895,118.5996273,118.9827051,119.8637798,121.4343776,120.6299269,121.7025321,122.4686749,123.6562034,123.8477423,125.1884976,127.6401743,129.7854016,127.2187887,127.6401829,127.7934012,129.6439641,128.8320869,128.9175477,130.0712679
Colombia,8.488999347,9.18076346,9.661791486,10.27109365,11.16901263,12.04402552,12.64416524,13.15726181,14.22010468,15.35624707,16.14421678,16.54278286,17.71099378,18.76925544,19.53431906,20.22150195,21.78827895,23.20387571,23.91854592,24.74316539,26.37866068,28.1653362,28.97621202,29.70462589,31.76617457,33.74068008,35.08755855,36.17788875,38.0195389,40.01695051,41.38215386,42.60533941,45.01047954,48.31353865,49.24352616,49.72455419,51.90521457,53.15130622,53.73770229,54.40656031,56.55973337,58.40138353,58.68083791,59.22142178,61.1501151,63.02841501,63.39491256,63.84845327,65.21823783,66.75752752,67.22023066,68.19603037,70.05142419,71.82893727,72.01676726,72.56193236,74.41274495,75.87873513,76.35060071,76.72167947,78.31136257,79.64449738,80.11636297,80.61571587,81.66023387,82.85593211,83.75385109,84.09744253,85.95283635,87.96857284,88.21595868,88.66033695,91.18458878,93.63095988,94.97325713,95.5596532,97.19514849,98.09306747,98.01518674,97.81361309,99.14674791,100.1500349,100.2462405,100.4569766,102.3719263,103.1873833,103.7371296,104.3739191,105.9544398,106.6462039,106.921077,107.2509248,107.9793387,108.8451891,109.3307984,109.2300116,110.4806844,111.9008624,112.5284895,113.0919794,115.1672718,116.92646,117.9893029,120.2753313,124.0136062,126.5653454,127.5548887,127.5686324,130.3540137,132.0536461,132.3285192,132.7728975,134.7703091,136.2317181,136.4928476,137.106731,138.9941933,140.7717064,141.6650442,142.3705519,144.1755523,144.7802733,144.4091945,144.670324,146.4203498,149.0591321,150.6304903,152.128549
Costa Rica,7.847228878,8.246277435,8.779068248,9.345403536,10.08033248,10.74947941,11.36373537,11.84816987,12.74777169,13.33109704,13.62820524,13.93184808,14.20281774,14.56135154,14.91770713,15.2021817,15.67267563,16.25817919,16.98439528,17.93845242,19.40656775,19.93413085,20.81064362,22.20339278,23.03067795,23.7390327,24.59724848,25.40928616,26.41213526,27.17843047,27.76916174,28.23747746,29.30654422,30.07893843,31.20507436,31.78491457,32.77643697,33.14542619,33.83199882,34.9145705,36.38486404,36.74121962,37.76280136,38.54129456,40.01899401,41.36207993,42.09178117,42.77661122,43.94239063,44.59367621,45.95418783,47.00016554,48.06792538,49.15136835,50.01219799,51.4053828,53.50082336,54.82430537,56.56034085,58.2131686,60.67454889,62.47854461,64.32697586,66.40237687,68.43377798,69.95896247,71.80477987,72.80675769,74.59899105,76.41039269,78.20698248,80.26931421,82.80475373,85.49658892,90.02857815,92.70255199,93.448372,93.87835118,95.25672414,95.9794551,98.67738928,99.54257534,100.3005933,101.479442,103.2790813,104.4222073,105.5226403,106.2880643,107.5736454,109.4190271,109.9709862,111.4072996,114.192798,115.5180225,116.0163976,115.5763986,117.657463,120.3231596,122.1554721,122.0147596,121.9524627,121.8452946,121.3717512,120.8481089,121.4275134,120.9391582,121.9611755,121.6048199,122.771035,122.9910345,123.4706769,124.6007336,125.7307903,125.6741568,126.1603339,127.2368066,127.6672214,128.528051,129.6398108,129.5478902,129.9142656,129.3034947,129.6672562,130.2340272,130.7132339,131.2255496,131.9365182,134.2062157
