quarter,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Rep.,Denmark,Finland,France,Germany,Greece,Ireland,Italy,Japan,"Korea, Rep. of",Mexico,"Netherlands, The",New Zealand,Norway,Paraguay,"Poland, Rep. of",Portugal,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,Argentina,Brazil,"China, P.R.: Mainland",India,Indonesia,Romania,Russian Federation,Peru
1991-Q4,45.9,65.7,,55.4,,,35.4,,,61.2,69.4,74.1,,,87,,31.4,,63.1,48.3,56.9,,,,,60.4,66.6,,60.4,54.2,,,,,33.8,,,31.96
1992-Q1,46.2,65.9,,55.5,,,36,,,61.4,69.9,75.2,,,87.3,,31.9,,63.6,48.7,58.1,,,,,61,67.1,,60.4,54.9,,,,,34.2,,,32.68
1992-Q2,46.6,66.3,,55.5,,,36.8,,,60.7,70,74.6,,,87.2,,32.1,,63,49.1,58.4,,,,,60.7,66.9,,60.3,55.5,,,,,34.6,,,30.53
1992-Q3,47,66.3,,55.8,,,38.4,,,60.2,69.9,74.5,,,87,,32.2,,63.2,48.2,59.1,,,,,59.8,66.2,,60.7,56,,,,,35.8,,,32.5
1992-Q4,48,66.1,,56.1,,,37.9,,,59.8,69.8,74.3,,,86.4,,32.7,,63.4,48.7,58.7,,,,,59,65.7,,61.1,56.6,,,,,36,,,31.88
1993-Q1,48.3,65.9,,56.5,,,39.1,,,60,69.4,73.7,,,86.3,,33.3,58.2,63.8,49.7,58.3,,,,,57.9,65.6,,61.5,56.7,55.1,,9.53,,36.7,,,34.52
1993-Q2,48.6,66.3,,57,,,39.5,,,59.8,69.3,73.7,,,86.1,,34.2,58.4,64,50.2,59.3,,,,,58.7,66.3,,61.8,57,56.7,,11.17,,37.1,,,33.73
1993-Q3,48.7,67,,57.6,,,40.3,,,60.2,69.4,74.1,,,85.9,,34.8,59,64.5,51.6,60.5,,,,,59.4,66.5,,62.3,57.3,57.8,,12.05,,38.3,,,34.24
1993-Q4,49.6,67.5,,57.8,,,40.8,,,60.6,69.6,74.1,,,86.6,,35.5,59.7,64.1,52.5,62.7,,,,,59.4,66.9,,62.7,58.1,58.3,,13.61,,39.6,,,35.96
1994-Q1,50.4,67.7,,58.7,,,40.7,,,61,70.1,75.1,,,87.2,82.9,36.5,60.4,65,54.1,62,48.96,,,,60,67.3,,63.5,58.6,59.1,,10.68,,40,,,38.72
1994-Q2,51,67.8,,59.5,,,41.9,,,61.6,70.8,75.3,,,87.9,82.5,37.1,61.6,65.8,54.3,63.4,50.86,,,,60.6,66.6,,64.2,59.4,60.3,,12.52,,41.1,,,37.38
1994-Q3,51.4,68.4,,60.3,,,42.3,,,63,71.4,75.8,,,88.4,83.4,37.7,62.1,66.3,54.4,62.6,55.59,,,,61.3,67.3,,64.9,59.8,60.5,,12.98,,41.1,,,38.85
1994-Q4,51.9,69.3,,60.7,,,42.1,,,64.6,72,76.7,,,89.2,83.1,39.2,62.8,66.9,54.9,65,60.56,,,,62.3,67.6,,65.2,60.5,61.2,,14.58,,41,,,39.19
1995-Q1,51.9,69.9,68.2,61.3,,,43.6,,74.8,64,72.3,76.5,88.9,,90.4,84,40,59.2,67.4,55.7,64.5,53.67,44.2,78.4,65.9,63.1,67.3,,65.5,60.7,60.3,,11.37,,43.3,57.2,,42.04
1995-Q2,52.1,70.2,68.5,61.3,,,43.3,,74.5,65.8,72.7,77,89.8,,90.4,84.8,40.8,56.3,67.9,56.6,65.1,57.76,45,79.3,66.3,63.4,67.4,,65.7,60.8,58,,13.48,,44.1,57.4,,40.45
1995-Q3,53.3,70.4,68.9,61.4,,,43.3,,74.9,65.5,72.8,77.2,90.3,,90.8,85.8,41.7,57.4,68.4,56.8,66.6,57.96,46.6,79.7,66.6,63.7,67.7,,66.4,61.4,57.8,,14.4,,44.3,58.7,,40.41
1995-Q4,53.3,70.6,69.1,61.6,,,43.5,,75.4,65.5,72.9,77.2,90.8,,91.6,86,42.5,58.5,68.9,57.5,67.4,61.32,46.5,80.2,67.1,64.3,67.8,,66.5,61.8,58.2,,16.38,,44.9,58.2,,39.69
